country,name,period,index,rawval
New Zealand,Income poverty,1990,0,10
New Zealand,Income poverty,1992,0,20
New Zealand,Income poverty,1994,0,22
New Zealand,Income poverty,1996,0,20
New Zealand,Income poverty,1998,0,18
New Zealand,Income poverty,2001,0,18
New Zealand,Income poverty,2004,8,17
New Zealand,Income poverty,2008,42,13
New Zealand,Income poverty,2009,42,13
New Zealand,Income poverty,2010,50,12
New Zealand,Income poverty,2011,42,13
New Zealand,Income poverty,2012,42,13
New Zealand,Income poverty,2013,50,12
New Zealand,Income poverty,2014,50,12
New Zealand,Income poverty,2015,50,12
New Zealand,Income poverty,2016,58,11
New Zealand,Material Hardship,2008,25,10
New Zealand,Material Hardship,2009,13,11
New Zealand,Material Hardship,2010,13,11
New Zealand,Material Hardship,2011,0,13
New Zealand,Material Hardship,2012,0,12
New Zealand,Material Hardship,2013,25,10
New Zealand,Material Hardship,2014,38,9
New Zealand,Material Hardship,2015,50,8
New Zealand,Material Hardship,2016,63,7
New Zealand,Working hours needed to escape poverty,2001,37,35
New Zealand,Working hours needed to escape poverty,2002,37,35
New Zealand,Working hours needed to escape poverty,2003,40,34
New Zealand,Working hours needed to escape poverty,2004,37,35
New Zealand,Working hours needed to escape poverty,2005,34,36
New Zealand,Working hours needed to escape poverty,2006,37,35
New Zealand,Working hours needed to escape poverty,2007,40,34
New Zealand,Working hours needed to escape poverty,2008,40,34
New Zealand,Working hours needed to escape poverty,2009,47,32
New Zealand,Working hours needed to escape poverty,2010,47,32
New Zealand,Working hours needed to escape poverty,2011,50,31
New Zealand,Working hours needed to escape poverty,2012,50,31
New Zealand,Working hours needed to escape poverty,2013,47,32
New Zealand,Working hours needed to escape poverty,2014,47,32
New Zealand,Working hours needed to escape poverty,2015,50,31
New Zealand,Working hours needed to escape poverty,2016,53,30
New Zealand,Working hours needed to escape poverty,2017,56,29
New Zealand,Working hours needed to escape poverty,2018,60,28
New Zealand,Obesity,2007,58,26.5
New Zealand,Obesity,2012,54,28.6
New Zealand,Obesity,2013,50,30.8
New Zealand,Obesity,2014,52,29.9
New Zealand,Obesity,2015,51,30.7
New Zealand,Obesity,2016,49,31.6
New Zealand,Organic farmland,2013,78,0.08
New Zealand,Organic farmland,2014,78,0.08
New Zealand,Organic farmland,2015,78,0.08
New Zealand,Organic farmland,2016,77,0.08
New Zealand,Infant mortality,1990,4,9.96
New Zealand,Infant mortality,1991,26,7.82
New Zealand,Infant mortality,1992,20,8.45
New Zealand,Infant mortality,1993,30,7.44
New Zealand,Infant mortality,1994,38,6.68
New Zealand,Infant mortality,1995,31,7.37
New Zealand,Infant mortality,1996,40,6.51
New Zealand,Infant mortality,1997,34,7.08
New Zealand,Infant mortality,1998,43,6.26
New Zealand,Infant mortality,1999,48,5.71
New Zealand,Infant mortality,2000,49,5.59
New Zealand,Infant mortality,2001,46,5.89
New Zealand,Infant mortality,2002,52,5.37
New Zealand,Infant mortality,2003,52,5.38
New Zealand,Infant mortality,2004,58,4.8
New Zealand,Infant mortality,2005,46,5.88
New Zealand,Infant mortality,2006,58,4.77
New Zealand,Infant mortality,2007,54,5.16
New Zealand,Infant mortality,2008,53,5.26
New Zealand,Infant mortality,2009,59,4.68
New Zealand,Infant mortality,2010,56,4.97
New Zealand,Infant mortality,2011,54,5.13
New Zealand,Infant mortality,2012,60,4.53
New Zealand,Infant mortality,2013,64,4.2
New Zealand,Infant mortality,2014,61,4.46
New Zealand,Infant mortality,2015,50,5.53
New Zealand,Infant mortality,2016,66,4.02
New Zealand,Infant mortality,2017,70,3.6
New Zealand,Suicide mortality,1990,25,12.97
New Zealand,Suicide mortality,1991,15,13.7
New Zealand,Suicide mortality,1992,9,14.13
New Zealand,Suicide mortality,1993,32,12.46
New Zealand,Suicide mortality,1994,9,14.15
New Zealand,Suicide mortality,1995,0,14.97
New Zealand,Suicide mortality,1996,2,14.66
New Zealand,Suicide mortality,1997,0,14.81
New Zealand,Suicide mortality,1998,0,15.1
New Zealand,Suicide mortality,1999,19,13.43
New Zealand,Suicide mortality,2000,39,11.93
New Zealand,Suicide mortality,2001,26,12.86
New Zealand,Suicide mortality,2002,43,11.63
New Zealand,Suicide mortality,2003,33,12.36
New Zealand,Suicide mortality,2004,41,11.74
New Zealand,Suicide mortality,2005,35,12.19
New Zealand,Suicide mortality,2006,34,12.25
New Zealand,Suicide mortality,2007,51,11.04
New Zealand,Suicide mortality,2008,41,11.77
New Zealand,Suicide mortality,2009,47,11.33
New Zealand,Suicide mortality,2010,40,11.81
New Zealand,Suicide mortality,2011,53,10.9
New Zealand,Suicide mortality,2012,34,12.3
New Zealand,Suicide mortality,2013,51,11
New Zealand,Suicide mortality,2014,55,10.7
New Zealand,Suicide mortality,2015,50,11.1
New Zealand,Diabetes mortality rate,1990,51,10.1
New Zealand,Diabetes mortality rate,1991,59,9.6
New Zealand,Diabetes mortality rate,1992,46,10.5
New Zealand,Diabetes mortality rate,1993,44,10.6
New Zealand,Diabetes mortality rate,1994,43,10.7
New Zealand,Diabetes mortality rate,1995,35,11.2
New Zealand,Diabetes mortality rate,1996,21,12.2
New Zealand,Diabetes mortality rate,1997,16,12.5
New Zealand,Diabetes mortality rate,1998,0,14.2
New Zealand,Diabetes mortality rate,1999,0,14
New Zealand,Diabetes mortality rate,2000,0,14.5
New Zealand,Diabetes mortality rate,2001,0,13.9
New Zealand,Diabetes mortality rate,2002,0,13.8
New Zealand,Diabetes mortality rate,2003,0,14.3
New Zealand,Diabetes mortality rate,2004,0,13.8
New Zealand,Diabetes mortality rate,2005,3,13.4
New Zealand,Diabetes mortality rate,2006,3,13.4
New Zealand,Diabetes mortality rate,2007,10,12.9
New Zealand,Diabetes mortality rate,2008,10,12.9
New Zealand,Diabetes mortality rate,2009,18,12.4
